---------  128 : 2024-04-09 21:42:44 ---------
time taken for lcs_yang_v1 is: 0.019729
time taken for lcs_yang_v1 is: 0.022177
time taken for lcs_yang_v1 is: 0.038230
time taken for lcs_yang_v1 is: 0.056542
time taken for lcs_yang_v1 is: 0.048627
time taken for lcs_yang_v1 is: 0.032777
time taken for lcs_yang_v1 is: 0.053743
time taken for lcs_yang_v1 is: 0.044773
time taken for lcs_yang_v1 is: 0.028842
time taken for lcs_yang_v1 is: 0.046976
---------  256 : 2024-04-09 21:43:39 ---------
time taken for lcs_yang_v1 is: 0.026766
time taken for lcs_yang_v1 is: 0.061330
time taken for lcs_yang_v1 is: 0.072586
time taken for lcs_yang_v1 is: 0.059328
time taken for lcs_yang_v1 is: 0.026465
time taken for lcs_yang_v1 is: 0.038507
time taken for lcs_yang_v1 is: 0.062153
time taken for lcs_yang_v1 is: 0.043889
time taken for lcs_yang_v1 is: 0.030711
time taken for lcs_yang_v1 is: 0.060520
---------  512 : 2024-04-09 21:44:28 ---------
time taken for lcs_yang_v1 is: 0.063678
time taken for lcs_yang_v1 is: 0.035605
time taken for lcs_yang_v1 is: 0.058359
time taken for lcs_yang_v1 is: 0.080986
time taken for lcs_yang_v1 is: 0.093693
time taken for lcs_yang_v1 is: 0.045625
time taken for lcs_yang_v1 is: 0.053005
time taken for lcs_yang_v1 is: 0.055674
time taken for lcs_yang_v1 is: 0.033691
time taken for lcs_yang_v1 is: 0.050643
---------  1024 : 2024-04-09 21:45:23 ---------
time taken for lcs_yang_v1 is: 0.045182
time taken for lcs_yang_v1 is: 0.053157
time taken for lcs_yang_v1 is: 0.074414
time taken for lcs_yang_v1 is: 0.082618
time taken for lcs_yang_v1 is: 0.059639
time taken for lcs_yang_v1 is: 0.061575
time taken for lcs_yang_v1 is: 0.065210
time taken for lcs_yang_v1 is: 0.059162
time taken for lcs_yang_v1 is: 0.066070
time taken for lcs_yang_v1 is: 0.056574
---------  2048 : 2024-04-09 21:46:14 ---------
time taken for lcs_yang_v1 is: 0.100420
time taken for lcs_yang_v1 is: 0.109785
time taken for lcs_yang_v1 is: 0.156331
time taken for lcs_yang_v1 is: 0.092311
time taken for lcs_yang_v1 is: 0.081484
time taken for lcs_yang_v1 is: 0.090192
time taken for lcs_yang_v1 is: 0.077452
time taken for lcs_yang_v1 is: 0.121056
time taken for lcs_yang_v1 is: 0.091945
time taken for lcs_yang_v1 is: 0.072413
---------  4096 : 2024-04-09 21:47:06 ---------
time taken for lcs_yang_v1 is: 0.115745
time taken for lcs_yang_v1 is: 0.137244
time taken for lcs_yang_v1 is: 0.122812
time taken for lcs_yang_v1 is: 0.114469
time taken for lcs_yang_v1 is: 0.127335
time taken for lcs_yang_v1 is: 0.134278
time taken for lcs_yang_v1 is: 0.137722
time taken for lcs_yang_v1 is: 0.141049
time taken for lcs_yang_v1 is: 0.115973
time taken for lcs_yang_v1 is: 0.113538
---------  8192 : 2024-04-09 21:48:04 ---------
time taken for lcs_yang_v1 is: 0.263248
time taken for lcs_yang_v1 is: 0.371826
time taken for lcs_yang_v1 is: 0.295419
time taken for lcs_yang_v1 is: 0.322134
time taken for lcs_yang_v1 is: 0.325134
time taken for lcs_yang_v1 is: 0.315329
time taken for lcs_yang_v1 is: 0.344122
time taken for lcs_yang_v1 is: 0.419150
time taken for lcs_yang_v1 is: 0.438704
time taken for lcs_yang_v1 is: 0.366474
---------  16384 : 2024-04-09 21:49:08 ---------
time taken for lcs_yang_v1 is: 1.033553
time taken for lcs_yang_v1 is: 0.697195
time taken for lcs_yang_v1 is: 0.626562
time taken for lcs_yang_v1 is: 0.800125
time taken for lcs_yang_v1 is: 1.053200
time taken for lcs_yang_v1 is: 0.875816
time taken for lcs_yang_v1 is: 0.836243
time taken for lcs_yang_v1 is: 0.714566
time taken for lcs_yang_v1 is: 0.778922
time taken for lcs_yang_v1 is: 0.871328
---------  32768 : 2024-04-09 21:50:06 ---------
